name,number_female,number_male,prob_female,prob_male,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
Terriana,21,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Terriann,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrianna,32,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrica,512,0,1,0,0,49,0,0,0,0,0,0,0,61,110,0,0,0,5,0,0,0,76,0,0,0,0,0,0,49,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,140,11,0,0,0,0,0,0,0
Terrick,0,56,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,31,0,0,0,0,0,0,0
Terrie,17118,0,0.9831362570473482,0,0,398,288,127,2092,252,17,77,11,538,668,25,224,103,738,467,184,308,455,91,292,51,1021,200,502,246,60,616,10,91,0,129,58,7,562,1025,370,260,680,6,339,0,466,1530,254,406,0,424,262,181,7
Terrika,74,0,1,0,0,5,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,11,0,0,0,0,0,0,0
Terril,0,6,0,0.8605042016806723,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrill,27,1227,0,0.8565400843881856,0,5,0,0,133,0,0,0,0,106,46,0,27,6,80.5,30,10,7,69,0,16,0,52,10,53,0,0,56,0,0,0,24,0,0,84,49,10,5,23,0,24,0,15,16,0,22,0,0,10,0,0
Terrilyn,91,0,1,0,0,0,0,5,5,0,0,0,0,5,0,0,0,0,0,0,0,0,40,0,0,0,20,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
